,node_id,label
0,0,"""Nursing Home Staffing"": These articles focus on nursing home staffing levels, regulatory challenges, facility preparedness, and the impact on resident care."
1,1,"""Marine Animal Reproduction"": These stories highlight unique reproductive strategies in ocean creatures, including body fusion and self-cloning."
2,2,"""HIV & Drug Policy"": These articles discuss changes in U.S. government policies affecting HIV prevention, drug pricing, and access to pharmaceuticals, with major impacts on public health both domestically and internationally."
3,3,"""Solar & Cosmic Phenomena"": These articles cover recent discoveries and events involving high-energy particles, solar storms, supernovas, and other extraordinary phenomena in space and their effects on Earth."
4,4,"""Animal-Borne Bird Flu"": These articles discuss the spread of H5N1 bird flu among domestic and wild animals, its risks for human transmission, and the public health concerns surrounding animals as carriers."
5,5,"""Space Missions"": These articles discuss recent and upcoming space exploration missions, including lunar landings, high-altitude private astronaut flights, and spacecraft challenges."
6,6,"""Asteroid Impact Risk"": These articles discuss the monitoring, probability, and potential consequences of asteroid 2024 YR4 potentially colliding with Earth."
7,7,"""Private Lunar Missions"": These articles focus on recent developments and challenges in private company efforts to send landers and satellites to the moon, often in partnership with NASA."
8,8,"""Dementia Care"": These articles examine the rising prevalence, evolving treatment, caregiving challenges, and ethical considerations surrounding dementia and related neurodegenerative diseases in aging populations."
9,9,"""Measles Vaccine Controversy"": These articles discuss public health challenges and controversies surrounding measles vaccination, including governmental response, alternative remedies, outbreak consequences, and global vaccination struggles."
10,10,"""Young Women's Health"": These articles highlight rising cancer rates in younger women and controversies surrounding medical care and research for youth, especially in the context of gender identity and aging."
11,11,"""Ancient Genomic Discoveries"": These articles explore how ancient DNA and genetic analysis are transforming our understanding of early human evolution, extinct species, and the origins of language, diet, and cultural practices."
12,12,"""Night Sky Events"": These articles cover notable astronomical phenomena visible from Earth, including planetary alignments, lunar and cometary events, and observations of solar system activity."
13,13,"""Healthcare Policy Challenges"": These articles address regulatory actions, technological advances, and patient safety concerns shaping the U.S. healthcare landscape."
14,14,"""Animal Adaptations"": These articles examine unusual survival strategies, behaviors, and conservation stories among diverse animal species."
15,15,"""Space Exploration"": These articles focus on recent and upcoming advancements in rockets, spacecraft, and astronomical discoveries shaping the future of space travel and observation."
16,16,"""Boeing Starliner Crew"": These articles focus on NASA astronauts Butch Wilmore and Suni Williams and their extended mission aboard the space station using Boeing’s Starliner spacecraft."
17,17,"""Prehistoric Animal Discoveries"": These articles discuss recent fossil finds and research that reveal new information about ancient sea creatures, amphibians, and evolutionary adaptations."
18,18,"""Scientific Achievements"": The articles highlight notable scientific discoveries, advancements, and recognition of researchers through major international awards."
19,19,"""Boeing Starliner Troubles"": These articles focus on ongoing issues with Boeing's Starliner spacecraft, including delayed astronaut returns, propulsion malfunctions, possible reliance on SpaceX for crew recovery, and uncertainties about the vehicle's future."
20,20,"""Vaccine Controversies"": These articles discuss public disputes and policy decisions regarding vaccine safety, international health cooperation, and medical interventions."
21,21,"""Marine Evolution"": These articles explore the evolution, survival adaptations, and biological mysteries of marine animals, including sharks and deep-sea creatures, alongside discoveries impacting our understanding of how life began in the ocean."
22,22,"""Abortion Access Conflict"": These articles detail escalating legal, political, and practical battles between states over access to abortion services and medication, including attempts to protect or prosecute providers, new prescription methods, and related policy impacts."
23,23,"""Fungal Biology"": These articles explore the scientific, ecological, and historical significance of fungi, from mycological research and artwork to fungi's impact on wildlife and environmental restoration."
24,24,"""MDMA PTSD Therapy"": These articles discuss regulatory, clinical, and political developments regarding the use of MDMA (Ecstasy) as a treatment for post-traumatic stress disorder, including recent study retractions, FDA skepticism, and ongoing advocacy efforts."
25,25,"""Science Policy Politics"": These articles detail the Trump administration’s influence on scientific research, funding, and policy, highlighting political interference, reduced accessibility, and restructuring within federal science agencies."
26,26,"""Canine Science"": These articles explore recent research and discoveries related to dog genetics, behavior, domestication, and the evolving science of understanding dogs."
27,27,"""Celestial Phenomena"": These articles explore natural events and changes involving Earth's moon, mini-moons, and the evolving features of planetary bodies."
28,28,"""Psychiatric Challenges"": These articles examine the complexities of modern mental health issues, discussing personal struggles, ethical dilemmas, treatment innovations, and the evolving role of psychiatry in response to societal crises."
29,29,"""Mpox and Infectious Disease Spread"": These articles examine the rising global threat from Mpox outbreaks and other infectious diseases, highlighting surges in Africa and Asia, vaccine access challenges, and the growing impact of drug resistance and pandemic preparedness."
30,30,"""Meteor Shower Events"": These articles detail annual meteor showers, their peak viewing times, challenges to observation, and tips for witnessing these astronomical phenomena."
